Student_ID,Age,Gender,University_Year,Sleep_Duration,Study_Hours,Screen_Time,Caffeine_Intake,Physical_Activity,Sleep_Quality,Weekday_Sleep_Start,Weekend_Sleep_Start,Weekday_Sleep_End,Weekend_Sleep_End,GPA
1,24,Other,2nd Year,7.7,7.9,3.4,2,37,10,14.16,4.05,7.41,7.06,3.337218126956572
2,21,Male,1st Year,6.3,6.0,1.9,5,74,2,8.73,7.1,8.21,10.21,3.5245303252787115
3,22,Male,4th Year,5.1,6.7,3.9,5,53,5,20.0,20.47,6.88,10.92,3.062711503147908
4,24,Other,4th Year,6.3,8.6,2.8,4,55,9,19.82,4.08,6.69,9.42,3.3187983805024897
5,20,Male,4th Year,4.7,2.7,2.7,0,85,3,20.98,6.12,8.98,9.01,2.769028989687646
6,25,Other,1st Year,4.9,12.0,3.2,3,96,9,9.8,18.83,5.04,10.51,3.5631443846950757
7,22,Female,2nd Year,6.5,11.7,3.4,1,99,6,13.05,20.96,8.58,10.81,3.0210421189352457
8,22,Male,2nd Year,6.1,7.8,3.0,1,108,4,10.49,10.85,5.6,10.02,3.6455934775633225
9,24,Female,1st Year,8.6,2.4,1.4,1,86,7,11.06,18.88,8.14,8.78,3.2235152449135587
10,19,Other,2nd Year,5.8,8.2,2.0,3,44,8,14.65,5.31,7.47,9.37,2.6560146553527897
11,20,Female,1st Year,6.9,0.9,3.8,5,108,6,7.77,14.83,6.37,9.8,3.40442888741517
12,24,Female,2nd Year,7.2,0.4,1.7,0,33,5,6.07,3.74,8.5,7.78,3.186686910172727
13,20,Other,3rd Year,4.1,3.1,2.1,3,8,6,21.69,10.69,5.05,8.79,3.1581823173616512
14,20,Female,3rd Year,7.3,5.6,2.3,1,87,5,17.65,18.35,5.91,10.32,3.4559358417060024
15,25,Female,4th Year,4.9,10.4,2.3,4,7,8,7.02,19.21,7.27,9.62,2.8040266642807374
16,22,Other,3rd Year,8.8,8.7,2.8,2,6,1,13.88,10.47,6.41,8.64,3.042855268598026
17,21,Female,3rd Year,4.7,8.9,3.8,3,35,7,8.09,6.76,7.44,9.65,2.5658714763820467
18,25,Other,3rd Year,6.1,5.1,1.7,3,17,10,14.71,6.37,5.1,7.47,3.085338155422217
19,25,Female,1st Year,4.4,4.2,1.4,0,2,10,13.79,16.48,5.47,8.61,3.2747032682798207
20,20,Other,3rd Year,9.0,4.5,1.6,0,27,2,18.67,17.92,5.51,10.17,3.1180837919668662
21,23,Other,3rd Year,6.5,11.9,3.7,3,69,9,16.58,21.66,5.76,7.88,3.591559621518774
